Category,Subcategory,countryISO3,region_code,population,hoursPerDayCombined,uncertaintyCombined,dataStatus,dataStatusEconomic
Technosphere modification,Buildings,AGO,AF_M,31825299.0,0.03,0.08470887227544933,interpolated,interpolated
Technosphere modification,Artifacts,AGO,AF_M,31825299.0,0.42,0.11576952233863248,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,AGO,AF_M,31825299.0,0.72,0.20012078523141866,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,AGO,AF_M,31825299.0,9.79,1.2913986617555109,interpolated,interpolated
Maintenance of surroundings,Waste management,AGO,AF_M,31825299.0,0.0,0.0001835212127408948,interpolated,interpolated
Somatic maintenance,Physical child care,AGO,AF_M,31825299.0,0.27,0.0635982296062593,interpolated,interpolated
Somatic maintenance,Health care,AGO,AF_M,31825299.0,0.05,0.062322777394987997,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,AGO,AF_M,31825299.0,0.82,0.10508557428184531,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,AGO,AF_M,31825299.0,1.95,0.31870429108437115,interpolated,interpolated
Deliberate neural restructuring,Religious practice,AGO,AF_M,31825299.0,0.44,0.15411027242639344,interpolated,interpolated
Organization,Human transportation,AGO,AF_M,31825299.0,1.02,0.12750643165843678,interpolated,interpolated
Organization,Material transportation,AGO,AF_M,31825299.0,0.48,0.06086319438366949,interpolated,interpolated
Organization,Allocation,AGO,AF_M,31825299.0,0.49,0.32525596672528156,interpolated,interpolated
Experience oriented,Social,AGO,AF_M,31825299.0,1.05,0.5931809745164189,interpolated,interpolated
Experience oriented,Active recreation,AGO,AF_M,31825299.0,0.44,0.09982094144370052,interpolated,interpolated
Experience oriented,Meals,AGO,AF_M,31825299.0,1.14,0.3473798389695329,interpolated,interpolated
Experience oriented,Passive,AGO,AF_M,31825299.0,1.84,0.9054991818437101,interpolated,interpolated
Experience oriented,Interactive,AGO,AF_M,31825299.0,0.96,0.3512973105576911,interpolated,interpolated
Food provision,Food preparation,ALB,EU_S,2896307.0,1.1,0.0029614220089034127,observed,observed
Food provision,Food growth & collection,ALB,EU_S,2896307.0,0.82,0.025173542956828637,observed,observed
Food provision,Food processing,ALB,EU_S,2896307.0,0.04,5.974422164503192e-05,observed,observed
Nonfood provision,Materials,ALB,EU_S,2896307.0,0.05,0.0003634444419686291,observed,observed
Nonfood provision,Energy,ALB,EU_S,2896307.0,0.04,6.052787741678782e-05,observed,observed
Technosphere modification,Infrastructure,ALB,EU_S,2896307.0,0.03,5.082029177748015e-05,observed,observed
Technosphere modification,Buildings,ALB,EU_S,2896307.0,0.28,0.0008778437451296078,observed,observed
Technosphere modification,Artifacts,ALB,EU_S,2896307.0,0.4,0.00359421095051776,observed,observed
Maintenance of surroundings,Inhabited environment,ALB,EU_S,2896307.0,0.83,0.00191021346268659,observed,observed
Somatic maintenance,Sleep & bedrest,ALB,EU_S,2896307.0,9.4,0.1705363779283624,observed,observed
Maintenance of surroundings,Waste management,ALB,EU_S,2896307.0,0.01,1.7688270044244037e-05,observed,observed
Somatic maintenance,Physical child care,ALB,EU_S,2896307.0,0.33,0.00027959034765955015,observed,observed
Somatic maintenance,Health care,ALB,EU_S,2896307.0,0.1,0.00016029442599581356,observed,observed
Somatic maintenance,Hygiene & grooming,ALB,EU_S,2896307.0,0.79,0.0011649236115021501,observed,observed
Deliberate neural restructuring,Schooling & research,ALB,EU_S,2896307.0,1.03,0.0025459106338930992,observed,observed
Deliberate neural restructuring,Religious practice,ALB,EU_S,2896307.0,0.07,0.00012455399819081019,observed,observed
Organization,Human transportation,ALB,EU_S,2896307.0,1.11,0.0010247860870018278,observed,observed
Organization,Material transportation,ALB,EU_S,2896307.0,0.12,0.00029675307863328686,observed,observed
Organization,Allocation,ALB,EU_S,2896307.0,0.6,0.008711976601140578,observed,observed
Experience oriented,Social,ALB,EU_S,2896307.0,0.73,0.0013979264883907,observed,observed
Experience oriented,Active recreation,ALB,EU_S,2896307.0,0.43,0.00045224960118417454,observed,observed
Experience oriented,Meals,ALB,EU_S,2896307.0,2.02,0.0086190073207429,observed,observed
Experience oriented,Passive,ALB,EU_S,2896307.0,3.06,0.0098037479490906,observed,observed
Experience oriented,Interactive,ALB,EU_S,2896307.0,0.61,0.001296648195543772,observed,observed
Food provision,Food preparation,ARE,AS_W,9770526.0,0.88,0.19069050959337094,interpolated,interpolated
Food provision,Food growth & collection,ARE,AS_W,9770526.0,0.36,0.09358224729548373,interpolated,interpolated
Food provision,Food processing,ARE,AS_W,9770526.0,0.04,0.00705444289885008,interpolated,interpolated
Nonfood provision,Materials,ARE,AS_W,9770526.0,0.04,0.00519525260306105,interpolated,interpolated
Nonfood provision,Energy,ARE,AS_W,9770526.0,0.03,0.003383848008861201,interpolated,interpolated
Technosphere modification,Infrastructure,ARE,AS_W,9770526.0,0.04,0.03480789257722431,interpolated,interpolated
Technosphere modification,Buildings,ARE,AS_W,9770526.0,0.21,0.2060596139451479,interpolated,interpolated
Technosphere modification,Artifacts,ARE,AS_W,9770526.0,0.31,0.03324835047545143,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,ARE,AS_W,9770526.0,0.86,0.19125378145423716,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,ARE,AS_W,9770526.0,9.45,1.334729314175462,interpolated,interpolated
Maintenance of surroundings,Waste management,ARE,AS_W,9770526.0,0.01,6.0267119257686826e-05,interpolated,interpolated
Somatic maintenance,Physical child care,ARE,AS_W,9770526.0,0.25,0.06385532888711636,interpolated,interpolated
Somatic maintenance,Health care,ARE,AS_W,9770526.0,0.13,0.04892242375630518,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,ARE,AS_W,9770526.0,0.85,0.10397778934261744,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,ARE,AS_W,9770526.0,0.93,0.2872182579006988,interpolated,interpolated
Deliberate neural restructuring,Religious practice,ARE,AS_W,9770526.0,0.47,0.15518190991036002,interpolated,interpolated
Organization,Human transportation,ARE,AS_W,9770526.0,0.77,0.12261703842431514,interpolated,interpolated
Organization,Material transportation,ARE,AS_W,9770526.0,0.21,0.038063046144627924,interpolated,interpolated
Organization,Allocation,ARE,AS_W,9770526.0,0.79,0.13350862880512102,interpolated,interpolated
Experience oriented,Social,ARE,AS_W,9770526.0,1.09,0.59014856218269,interpolated,interpolated
Experience oriented,Active recreation,ARE,AS_W,9770526.0,0.49,0.09973345989848713,interpolated,interpolated
Experience oriented,Meals,ARE,AS_W,9770526.0,1.79,0.3542060233710226,interpolated,interpolated
Experience oriented,Passive,ARE,AS_W,9770526.0,3.09,0.9392992610523984,interpolated,interpolated
Experience oriented,Interactive,ARE,AS_W,9770526.0,0.9,0.34992443825333464,interpolated,interpolated
Food provision,Food preparation,ARG,AM_S,44780675.0,0.7,0.1950887683326619,interpolated,observed
Food provision,Food growth & collection,ARG,AM_S,44780675.0,0.13,0.03854271199021729,interpolated,observed
Food provision,Food processing,ARG,AM_S,44780675.0,0.0,0.0061639958687359,interpolated,observed
Nonfood provision,Materials,ARG,AM_S,44780675.0,0.03,0.0007571766178946997,interpolated,observed
Nonfood provision,Energy,ARG,AM_S,44780675.0,0.03,0.0023817418703707704,interpolated,observed
Technosphere modification,Infrastructure,ARG,AM_S,44780675.0,0.08,0.0018711812646948723,interpolated,observed
Technosphere modification,Buildings,ARG,AM_S,44780675.0,0.28,0.03648099994417534,interpolated,observed
Technosphere modification,Artifacts,ARG,AM_S,44780675.0,0.54,0.07299220703976472,interpolated,observed
Maintenance of surroundings,Inhabited environment,ARG,AM_S,44780675.0,0.72,0.20587310058719366,interpolated,observed
Somatic maintenance,Sleep & bedrest,ARG,AM_S,44780675.0,8.78,1.873210108765885,interpolated,observed
Maintenance of surroundings,Waste management,ARG,AM_S,44780675.0,0.01,4.7771205404708054e-05,interpolated,observed
Somatic maintenance,Physical child care,ARG,AM_S,44780675.0,0.33,0.06760871068981361,interpolated,observed
Somatic maintenance,Health care,ARG,AM_S,44780675.0,0.16,0.04869698917887279,interpolated,observed
Somatic maintenance,Hygiene & grooming,ARG,AM_S,44780675.0,1.0,0.11860169615397631,interpolated,observed
Deliberate neural restructuring,Schooling & research,ARG,AM_S,44780675.0,1.05,0.29456352643922895,interpolated,observed
Deliberate neural restructuring,Religious practice,ARG,AM_S,44780675.0,0.17,0.15280474658197693,interpolated,observed
Organization,Human transportation,ARG,AM_S,44780675.0,1.11,0.14184052940324385,interpolated,observed
Organization,Material transportation,ARG,AM_S,44780675.0,0.35,0.04926279825885529,interpolated,observed
Organization,Allocation,ARG,AM_S,44780675.0,1.41,0.37833407947517156,interpolated,observed
Experience oriented,Social,ARG,AM_S,44780675.0,1.21,0.593140958942021,interpolated,observed
Experience oriented,Active recreation,ARG,AM_S,44780675.0,0.57,0.09975928452154333,interpolated,observed
Experience oriented,Meals,ARG,AM_S,44780675.0,1.31,0.3603453634284081,interpolated,observed
Experience oriented,Passive,ARG,AM_S,44780675.0,2.9,0.9558049370390815,interpolated,observed
Experience oriented,Interactive,ARG,AM_S,44780675.0,1.15,0.34791974727636,interpolated,observed
Food provision,Food preparation,ARM,AS_W,2925559.0,0.85,0.18854274751412375,interpolated,observed
Food provision,Food growth & collection,ARM,AS_W,2925559.0,0.48,0.027108445121690066,interpolated,observed
Food provision,Food processing,ARM,AS_W,2925559.0,0.09,0.006243431800348872,interpolated,observed
Nonfood provision,Materials,ARM,AS_W,2925559.0,0.06,0.0008837171925805781,interpolated,observed
Nonfood provision,Energy,ARM,AS_W,2925559.0,0.06,0.0022274960246738045,interpolated,observed
Technosphere modification,Infrastructure,ARM,AS_W,2925559.0,0.05,5.418883682676989e-05,interpolated,observed
Technosphere modification,Buildings,ARM,AS_W,2925559.0,0.15,0.018688925543871165,interpolated,observed
Technosphere modification,Artifacts,ARM,AS_W,2925559.0,0.16,0.016642471837822626,interpolated,observed
Maintenance of surroundings,Inhabited environment,ARM,AS_W,2925559.0,0.82,0.18800945061580318,interpolated,observed
Somatic maintenance,Sleep & bedrest,ARM,AS_W,2925559.0,9.45,1.334729314175462,interpolated,observed
Maintenance of surroundings,Waste management,ARM,AS_W,2925559.0,0.0,3.610323978078285e-05,interpolated,observed
Somatic maintenance,Physical child care,ARM,AS_W,2925559.0,0.25,0.06359978121071892,interpolated,observed
Somatic maintenance,Health care,ARM,AS_W,2925559.0,0.18,0.047900614524344305,interpolated,observed
Somatic maintenance,Hygiene & grooming,ARM,AS_W,2925559.0,0.85,0.10400114186130714,interpolated,observed
Deliberate neural restructuring,Schooling & research,ARM,AS_W,2925559.0,0.99,0.28361149895858906,interpolated,observed
Deliberate neural restructuring,Religious practice,ARM,AS_W,2925559.0,0.47,0.15517656693345408,interpolated,observed
Organization,Human transportation,ARM,AS_W,2925559.0,0.77,0.12212957935195995,interpolated,observed
Organization,Material transportation,ARM,AS_W,2925559.0,0.23,0.03729666784072856,interpolated,observed
Organization,Allocation,ARM,AS_W,2925559.0,0.72,0.10014944697287902,interpolated,observed
Experience oriented,Social,ARM,AS_W,2925559.0,1.09,0.5899709319141319,interpolated,observed
Experience oriented,Active recreation,ARM,AS_W,2925559.0,0.49,0.09972937463640832,interpolated,observed
Experience oriented,Meals,ARM,AS_W,2925559.0,1.79,0.3542060233710226,interpolated,observed
Experience oriented,Passive,ARM,AS_W,2925559.0,3.09,0.9391974946775675,interpolated,observed
Experience oriented,Interactive,ARM,AS_W,2925559.0,0.92,0.3497921461855526,interpolated,observed
Food provision,Food preparation,ATG,AM_C,97115.0,1.15,0.24257054475414816,interpolated,interpolated
Food provision,Food growth & collection,ATG,AM_C,97115.0,0.56,0.061959676818059535,interpolated,interpolated
Food provision,Food processing,ATG,AM_C,97115.0,0.1,0.010299365304862498,interpolated,interpolated
Nonfood provision,Materials,ATG,AM_C,97115.0,0.07,0.0038429623222100777,interpolated,interpolated
Nonfood provision,Energy,ATG,AM_C,97115.0,0.04,0.004059268407518896,interpolated,interpolated
Technosphere modification,Infrastructure,ATG,AM_C,97115.0,0.07,0.0006248734138737014,interpolated,interpolated
Technosphere modification,Buildings,ATG,AM_C,97115.0,0.26,0.015961643351325917,interpolated,interpolated
Technosphere modification,Artifacts,ATG,AM_C,97115.0,0.43,0.02527779794606056,interpolated,interpolated
Maintenance of surroundings,Inhabited environment,ATG,AM_C,97115.0,1.29,0.21037709443189712,interpolated,interpolated
Somatic maintenance,Sleep & bedrest,ATG,AM_C,97115.0,8.21,3.8838580704242074,interpolated,interpolated
Maintenance of surroundings,Waste management,ATG,AM_C,97115.0,0.01,0.0006833762732610088,interpolated,interpolated
Somatic maintenance,Physical child care,ATG,AM_C,97115.0,0.7,0.0710683909954883,interpolated,interpolated
Somatic maintenance,Health care,ATG,AM_C,97115.0,0.48,0.04527143422681473,interpolated,interpolated
Somatic maintenance,Hygiene & grooming,ATG,AM_C,97115.0,0.94,3.021000989250257,interpolated,interpolated
Deliberate neural restructuring,Schooling & research,ATG,AM_C,97115.0,1.23,0.3157075595104107,interpolated,interpolated
Deliberate neural restructuring,Religious practice,ATG,AM_C,97115.0,0.22,0.15336768657900673,interpolated,interpolated
Organization,Human transportation,ATG,AM_C,97115.0,0.69,0.5993742133842734,interpolated,interpolated
Organization,Material transportation,ATG,AM_C,97115.0,0.18,0.04155604274710777,interpolated,interpolated
Organization,Allocation,ATG,AM_C,97115.0,1.29,0.1573074318857059,interpolated,interpolated
Experience oriented,Social,ATG,AM_C,97115.0,0.98,0.9611642892230392,interpolated,interpolated
Experience oriented,Active recreation,ATG,AM_C,97115.0,0.45,0.10063755620366506,interpolated,interpolated
Experience oriented,Meals,ATG,AM_C,97115.0,1.27,3.2601218279034234,interpolated,interpolated
Experience oriented,Passive,ATG,AM_C,97115.0,2.09,1.1262110567956707,interpolated,interpolated
Experience oriented,Interactive,ATG,AM_C,97115.0,1.28,0.5716704907884139,interpolated,interpolated
Food provision,Food preparation,AUS,ANZ,21332293.0,0.81,0.0013108367827882141,observed,observed
Food provision,Food growth & collection,AUS,ANZ,21332293.0,0.13,8.571894389995164e-05,observed,observed
Food provision,Food processing,AUS,ANZ,21332293.0,0.0,4.8495059400404625e-08,observed,observed
Nonfood provision,Materials,AUS,ANZ,21332293.0,0.06,1.295090094159215e-05,observed,observed
Nonfood provision,Energy,AUS,ANZ,21332293.0,0.03,9.954021224447996e-06,observed,observed
Technosphere modification,Infrastructure,AUS,ANZ,21332293.0,0.08,0.001021928326231475,observed,observed
Technosphere modification,Buildings,AUS,ANZ,21332293.0,0.32,0.0011164315975293678,observed,observed
Technosphere modification,Artifacts,AUS,ANZ,21332293.0,0.36,0.00020071537103155782,observed,observed
Maintenance of surroundings,Inhabited environment,AUS,ANZ,21332293.0,1.02,0.0009914579277413814,observed,observed
Somatic maintenance,Sleep & bedrest,AUS,ANZ,21332293.0,8.9,0.1339036821631005,observed,observed
Maintenance of surroundings,Waste management,AUS,ANZ,21332293.0,0.01,3.4450695693048267e-06,observed,observed
Somatic maintenance,Physical child care,AUS,ANZ,21332293.0,0.34,0.00017552524457508555,observed,observed
Somatic maintenance,Health care,AUS,ANZ,21332293.0,0.31,0.0005828477112237888,observed,observed
Somatic maintenance,Hygiene & grooming,AUS,ANZ,21332293.0,0.88,0.0012791739902602503,observed,observed
Deliberate neural restructuring,Schooling & research,AUS,ANZ,21332293.0,0.92,0.0012609259397441837,observed,observed
Deliberate neural restructuring,Religious practice,AUS,ANZ,21332293.0,0.16,0.00011805721242062178,observed,observed
Organization,Human transportation,AUS,ANZ,21332293.0,1.02,0.0016534018545958993,observed,observed
Organization,Material transportation,AUS,ANZ,21332293.0,0.34,0.0013254032400892418,observed,observed
Organization,Allocation,AUS,ANZ,21332293.0,1.35,0.0008903841538803572,observed,observed
Experience oriented,Social,AUS,ANZ,21332293.0,0.99,0.0008154594329072056,observed,observed
Experience oriented,Active recreation,AUS,ANZ,21332293.0,0.56,0.0006344870861250437,observed,observed
Experience oriented,Meals,AUS,ANZ,21332293.0,1.45,0.0038091815478606,observed,observed
Experience oriented,Passive,AUS,ANZ,21332293.0,3.06,0.015504911042711306,observed,observed
Experience oriented,Interactive,AUS,ANZ,21332293.0,0.93,0.005510301252866793,observed,observed
Food provision,Food preparation,AUT,EU_W,8453501.0,0.82,0.0014840095809981115,observed,observed
Food provision,Food growth & collection,AUT,EU_W,8453501.0,0.22,0.0017968645486735936,observed,observed
Food provision,Food processing,AUT,EU_W,8453501.0,0.07,0.00019231470897942998,observed,observed
Nonfood provision,Materials,AUT,EU_W,8453501.0,0.03,3.487556965321474e-05,observed,observed
Nonfood provision,Energy,AUT,EU_W,8453501.0,0.03,4.4068251379426605e-05,observed,observed
Technosphere modification,Infrastructure,AUT,EU_W,8453501.0,0.1,0.000714696463364435,observed,observed
Technosphere modification,Buildings,AUT,EU_W,8453501.0,0.3,0.0036899295268241596,observed,observed
Technosphere modification,Artifacts,AUT,EU_W,8453501.0,0.54,0.01188171167100217,observed,observed
Maintenance of surroundings,Inhabited environment,AUT,EU_W,8453501.0,1.2,0.0018162469707053894,observed,observed
Somatic maintenance,Sleep & bedrest,AUT,EU_W,8453501.0,8.78,0.1413220753129078,observed,observed
Maintenance of surroundings,Waste management,AUT,EU_W,8453501.0,0.01,5.2937663027783614e-06,observed,observed
Somatic maintenance,Physical child care,AUT,EU_W,8453501.0,0.27,0.0003359179137543908,observed,observed
Somatic maintenance,Health care,AUT,EU_W,8453501.0,0.23,0.001993248855832636,observed,observed
Somatic maintenance,Hygiene & grooming,AUT,EU_W,8453501.0,0.88,0.0014020119916660753,observed,observed
Deliberate neural restructuring,Schooling & research,AUT,EU_W,8453501.0,0.85,0.0021627033325324913,observed,observed
Deliberate neural restructuring,Religious practice,AUT,EU_W,8453501.0,0.1,4.017064857061689e-05,observed,observed
Organization,Human transportation,AUT,EU_W,8453501.0,0.87,0.0018644808568916934,observed,observed
Organization,Material transportation,AUT,EU_W,8453501.0,0.37,0.0026711769991355347,observed,observed
Organization,Allocation,AUT,EU_W,8453501.0,1.38,0.03953989510765172,observed,observed
Experience oriented,Social,AUT,EU_W,8453501.0,0.86,0.003871299982074633,observed,observed
Experience oriented,Active recreation,AUT,EU_W,8453501.0,0.74,0.00045348351689827133,observed,observed
Experience oriented,Meals,AUT,EU_W,8453501.0,1.64,0.0069918938915083,observed,observed
Experience oriented,Passive,AUT,EU_W,8453501.0,2.79,0.008784481990752257,observed,observed
Experience oriented,Interactive,AUT,EU_W,8453501.0,0.92,0.0007363508941664948,observed,observed
Food provision,Food preparation,AZE,AS_W,10047719.0,0.83,0.18868124272169065,interpolated,observed
Food provision,Food growth & collection,AZE,AS_W,10047719.0,0.61,0.07916823733966907,interpolated,observed
Food provision,Food processing,AZE,AS_W,10047719.0,0.01,0.0061637192268321,interpolated,observed
Nonfood provision,Materials,AZE,AS_W,10047719.0,0.1,0.0026274107573081612,interpolated,observed
Nonfood provision,Energy,AZE,AS_W,10047719.0,0.04,0.0024775226725496976,interpolated,observed
Technosphere modification,Infrastructure,AZE,AS_W,10047719.0,0.04,0.0009172414634606999,interpolated,observed
Technosphere modification,Buildings,AZE,AS_W,10047719.0,0.17,0.02088300003312658,interpolated,observed
Technosphere modification,Artifacts,AZE,AS_W,10047719.0,0.19,0.019835166421935124,interpolated,observed
Maintenance of surroundings,Inhabited environment,AZE,AS_W,10047719.0,0.82,0.18818152965602267,interpolated,observed
Somatic maintenance,Sleep & bedrest,AZE,AS_W,10047719.0,9.45,1.334729314175462,interpolated,observed
Maintenance of surroundings,Waste management,AZE,AS_W,10047719.0,0.01,4.53902577745573e-05,interpolated,observed
Somatic maintenance,Physical child care,AZE,AS_W,10047719.0,0.25,0.06361344784010085,interpolated,observed
Somatic maintenance,Health care,AZE,AS_W,10047719.0,0.12,0.04801708913249856,interpolated,observed
Somatic maintenance,Hygiene & grooming,AZE,AS_W,10047719.0,0.84,0.10396332944622391,interpolated,observed
Deliberate neural restructuring,Schooling & research,AZE,AS_W,10047719.0,0.98,0.28682784638581177,interpolated,observed
Deliberate neural restructuring,Religious practice,AZE,AS_W,10047719.0,0.48,0.1551871599459725,interpolated,observed
Organization,Human transportation,AZE,AS_W,10047719.0,0.78,0.12253820422075958,interpolated,observed
Organization,Material transportation,AZE,AS_W,10047719.0,0.17,0.03773286001737216,interpolated,observed
Organization,Allocation,AZE,AS_W,10047719.0,0.73,0.13575798645719825,interpolated,observed
Experience oriented,Social,AZE,AS_W,10047719.0,1.1,0.5900259164164173,interpolated,observed
Experience oriented,Active recreation,AZE,AS_W,10047719.0,0.49,0.09973815791473017,interpolated,observed
Experience oriented,Meals,AZE,AS_W,10047719.0,1.79,0.3542060233710226,interpolated,observed
Experience oriented,Passive,AZE,AS_W,10047719.0,3.1,0.9393375679566185,interpolated,observed
Experience oriented,Interactive,AZE,AS_W,10047719.0,0.9,0.3498308284102291,interpolated,observed
Food provision,Food preparation,BDI,AF_E,9844301.0,0.72,0.2284615644060367,interpolated,observed
Food provision,Food growth & collection,BDI,AF_E,9844301.0,1.86,0.0516618242321481,interpolated,observed
Food provision,Food processing,BDI,AF_E,9844301.0,0.1,0.009275409750026874,interpolated,observed
Nonfood provision,Materials,BDI,AF_E,9844301.0,0.11,0.0027574638247564033,interpolated,observed
Nonfood provision,Energy,BDI,AF_E,9844301.0,0.0,0.0021861749314707893,interpolated,observed
Technosphere modification,Infrastructure,BDI,AF_E,9844301.0,0.01,0.00021885772011678595,interpolated,observed
Technosphere modification,Buildings,BDI,AF_E,9844301.0,0.12,0.012715944734750384,interpolated,observed
Technosphere modification,Artifacts,BDI,AF_E,9844301.0,0.13,0.015936180155351365,interpolated,observed
Maintenance of surroundings,Inhabited environment,BDI,AF_E,9844301.0,0.83,0.2253505024732078,interpolated,observed
Somatic maintenance,Sleep & bedrest,BDI,AF_E,9844301.0,8.93,2.6149926440655356,interpolated,observed
Maintenance of surroundings,Waste management,BDI,AF_E,9844301.0,0.01,0.0006728627667658,interpolated,observed
Somatic maintenance,Physical child care,BDI,AF_E,9844301.0,0.29,0.06530062838584644,interpolated,observed
Somatic maintenance,Health care,BDI,AF_E,9844301.0,0.35,0.9656211258924077,interpolated,observed
Somatic maintenance,Hygiene & grooming,BDI,AF_E,9844301.0,1.06,1.0224612231242505,interpolated,observed
Deliberate neural restructuring,Schooling & research,BDI,AF_E,9844301.0,1.06,0.2840209278000771,interpolated,observed
